generation,best_score,avg_score,best_params
0,0.714357212022058,0.6639435023614386,"{'max_depth': 3, 'learning_rate': 0.014752043492306719, 'n_estimators': 240, 'subsample': 0.7734675561410428, 'colsample_bytree': 0.7418613785575431, 'gamma': 0.204990352343015, 'min_child_weight': 5, 'reg_alpha': 0.26518378199589066, 'reg_lambda': 2.6876872787410817}"
1,0.714357212022058,0.680181262782755,"{'max_depth': 3, 'learning_rate': 0.014752043492306719, 'n_estimators': 240, 'subsample': 0.7734675561410428, 'colsample_bytree': 0.7418613785575431, 'gamma': 0.204990352343015, 'min_child_weight': 5, 'reg_alpha': 0.26518378199589066, 'reg_lambda': 2.6876872787410817}"
2,0.714357212022058,0.6948042109343382,"{'max_depth': 3, 'learning_rate': 0.014752043492306719, 'n_estimators': 240, 'subsample': 0.7734675561410428, 'colsample_bytree': 0.7418613785575431, 'gamma': 0.204990352343015, 'min_child_weight': 5, 'reg_alpha': 0.26518378199589066, 'reg_lambda': 2.6876872787410817}"
3,0.715284385378723,0.7055719508920866,"{'max_depth': 3, 'learning_rate': 0.014496242593275789, 'n_estimators': 200, 'subsample': 0.7759018958891126, 'colsample_bytree': 0.7835809183069011, 'gamma': 0.23598271869970397, 'min_child_weight': 3, 'reg_alpha': 0.7671776452572292, 'reg_lambda': 3.0376227021121496}"
4,0.715284385378723,0.7096258680555555,"{'max_depth': 3, 'learning_rate': 0.014496242593275789, 'n_estimators': 200, 'subsample': 0.7759018958891126, 'colsample_bytree': 0.7835809183069011, 'gamma': 0.23598271869970397, 'min_child_weight': 3, 'reg_alpha': 0.7671776452572292, 'reg_lambda': 3.0376227021121496}"
5,0.715284385378723,0.7115680041687871,"{'max_depth': 3, 'learning_rate': 0.014496242593275789, 'n_estimators': 200, 'subsample': 0.7759018958891126, 'colsample_bytree': 0.7835809183069011, 'gamma': 0.23598271869970397, 'min_child_weight': 3, 'reg_alpha': 0.7671776452572292, 'reg_lambda': 3.0376227021121496}"
6,0.7153389982932767,0.711544330948087,"{'max_depth': 3, 'learning_rate': 0.018131571632114804, 'n_estimators': 200, 'subsample': 0.8382866133870688, 'colsample_bytree': 0.7893725409396555, 'gamma': 0.12056022867117547, 'min_child_weight': 4, 'reg_alpha': 0.8949099949645605, 'reg_lambda': 2.3553470083354875}"
7,0.7153389982932767,0.7113299587185363,"{'max_depth': 3, 'learning_rate': 0.018131571632114804, 'n_estimators': 200, 'subsample': 0.8382866133870688, 'colsample_bytree': 0.7893725409396555, 'gamma': 0.12056022867117547, 'min_child_weight': 4, 'reg_alpha': 0.8949099949645605, 'reg_lambda': 2.3553470083354875}"
8,0.7153389982932767,0.7118719306089372,"{'max_depth': 3, 'learning_rate': 0.018131571632114804, 'n_estimators': 200, 'subsample': 0.8382866133870688, 'colsample_bytree': 0.7893725409396555, 'gamma': 0.12056022867117547, 'min_child_weight': 4, 'reg_alpha': 0.8949099949645605, 'reg_lambda': 2.3553470083354875}"
9,0.7153389982932767,0.7120175565538102,"{'max_depth': 3, 'learning_rate': 0.018131571632114804, 'n_estimators': 200, 'subsample': 0.8382866133870688, 'colsample_bytree': 0.7893725409396555, 'gamma': 0.12056022867117547, 'min_child_weight': 4, 'reg_alpha': 0.8949099949645605, 'reg_lambda': 2.3553470083354875}"
